id,title,year,minutes,genres,average_rating,num_votes,time,length,known,genre_1,genre_2,genre_3
tt0106246,Alive,1993,120,"Biography,Drama,Thriller",7.1,52812,Middle,Normal,Known,Biography,Drama,Thriller
tt0106257,American Ninja 5,1993,102,"Action,Comedy,Romance",2.9,4010,Middle,Normal,Normal,Action,Comedy,Romance
tt0106258,American Samurai,1992,94,Action,4.9,1854,Middle,Normal,Unknown,Action,Unknown,Unknown
tt0106260,Amerikali,1993,87,Comedy,5.3,2150,Middle,Short,Normal,Comedy,Unknown,Unknown
tt0106266,Amos & Andrew,1993,96,"Comedy,Crime",5.7,8872,Middle,Normal,Normal,Comedy,Crime,Unknown
tt0106292,Another Stakeout,1993,108,"Comedy,Crime",5.6,13534,Middle,Normal,Known,Comedy,Crime,Unknown
tt0106301,"L'arbre, le maire et la médiathèque",1993,105,"Comedy,Drama",7.0,1323,Middle,Normal,Unknown,Comedy,Drama,Unknown
tt0106305,La ardilla roja,1993,114,"Comedy,Drama,Music",7.2,4402,Middle,Normal,Normal,Comedy,Drama,Music
tt0106307,Arizona Dream,1993,142,"Comedy,Drama,Fantasy",7.3,42224,Middle,Long,Known,Comedy,Drama,Fantasy
tt0106308,Army of Darkness,1992,81,"Comedy,Horror",7.5,166417,Middle,Short,Known,Comedy,Horror,Unknown
tt0106309,Joshua Tree,1993,106,"Action,Adventure,Crime",5.7,5513,Middle,Normal,Normal,Action,Adventure,Crime
tt0106315,Aspen Extreme,1993,113,"Drama,Romance,Sport",6.0,2846,Middle,Normal,Normal,Drama,Romance,Sport
tt0106330,Az Karkheh ta Rhein,1993,93,"Drama,War",7.2,2656,Middle,Normal,Normal,Drama,War,Unknown
tt0106332,Ba wang bie ji,1993,171,"Drama,Music,Romance",8.1,26144,Middle,Long,Known,Drama,Music,Romance
tt0106333,Baazigar,1993,175,"Crime,Drama,Musical",7.7,26812,Middle,Long,Known,Crime,Drama,Musical
tt0106335,The Baby of Mâcon,1993,122,"Drama,History",7.0,4204,Middle,Long,Normal,Drama,History,Unknown
tt0106339,Backbeat,1994,100,"Biography,Drama,Music",6.7,5967,Middle,Normal,Normal,Biography,Drama,Music
tt0106341,Bad Boy Bubby,1993,114,"Comedy,Crime,Drama",7.4,13060,Middle,Normal,Known,Comedy,Crime,Drama
tt0106342,Bak fat moh lui zyun,1993,89,"Action,Fantasy,Romance",6.9,3410,Middle,Short,Normal,Action,Fantasy,Romance
tt0106343,Bak fat moh lui zyun II,1993,80,"Action,Fantasy,Romance",5.9,1029,Middle,Short,Unknown,Action,Fantasy,Romance
tt0106350,The Ballad of Little Jo,1993,121,"Drama,Romance,Western",6.7,1491,Middle,Long,Unknown,Drama,Romance,Western
tt0106364,Batman: Mask of the Phantasm,1993,76,"Action,Animation,Crime",7.8,45734,Middle,Short,Known,Action,Animation,Crime
tt0106375,Beethoven's 2nd,1993,89,"Comedy,Family,Romance",4.9,26586,Middle,Short,Known,Comedy,Family,Romance
tt0106379,Being Human,1994,122,"Comedy,Drama",5.4,3913,Middle,Long,Normal,Comedy,Drama,Unknown
tt0106387,Benny & Joon,1993,98,"Comedy,Drama,Romance",7.2,56012,Middle,Normal,Known,Comedy,Drama,Romance
tt0106389,Berlin in Berlin,1993,99,Drama,5.6,1311,Middle,Normal,Unknown,Drama,Unknown,Unknown
tt0106393,Best of the Best II,1993,101,"Action,Crime,Drama",5.6,5576,Middle,Normal,Normal,Action,Crime,Drama
tt0106400,The Beverly Hillbillies,1993,92,"Comedy,Family",5.0,17799,Middle,Normal,Known,Comedy,Family,Unknown
tt0106408,Bhaji on the Beach,1993,101,"Comedy,Drama",6.4,1077,Middle,Normal,Unknown,Comedy,Drama,Unknown
tt0106417,Gekijô-ban - Bishôjo senshi Sêrâ Mûn R,1993,61,"Action,Animation,Comedy",7.7,2411,Middle,Short,Normal,Action,Animation,Comedy
tt0106438,Blue,1993,79,"Biography,Drama",7.3,2111,Middle,Short,Normal,Biography,Drama,Unknown
tt0106447,"Bodies, Rest & Motion",1993,95,Drama,5.7,2276,Middle,Normal,Normal,Drama,Unknown,Unknown
tt0106450,Body Melt,1993,81,"Comedy,Horror,Sci-Fi",5.2,2865,Middle,Short,Normal,Comedy,Horror,Sci-Fi
tt0106452,Body Snatchers,1993,87,"Horror,Sci-Fi",6.0,18575,Middle,Short,Known,Horror,Sci-Fi,Unknown
tt0106453,Body of Evidence,1992,99,"Drama,Thriller",4.5,14595,Middle,Normal,Known,Drama,Thriller,Unknown
tt0106455,Boiling Point,1993,92,"Action,Crime,Drama",5.0,5783,Middle,Normal,Normal,Action,Crime,Drama
tt0106466,Born Yesterday,1993,100,"Comedy,Romance",5.2,3825,Middle,Normal,Normal,Comedy,Romance,Unknown
tt0106469,Bound by Honor,1993,180,"Crime,Drama",8.0,29625,Middle,Long,Known,Crime,Drama,Unknown
tt0106471,Boxing Helena,1993,107,"Drama,Mystery,Romance",4.7,11724,Middle,Normal,Known,Drama,Mystery,Romance
tt0106476,Brandbilen som försvann,1993,90,"Crime,Drama,Thriller",5.9,1182,Middle,Short,Unknown,Crime,Drama,Thriller
tt0106489,A Bronx Tale,1993,121,"Crime,Drama,Romance",7.8,132254,Middle,Long,Known,Crime,Drama,Romance
tt0106500,CB4,1993,89,"Comedy,Music",6.3,9133,Middle,Short,Normal,Comedy,Music,Unknown
tt0106504,Calendar,1993,74,"Comedy,Drama,Romance",6.8,2079,Middle,Short,Normal,Comedy,Drama,Romance
tt0106505,Calendar Girl,1993,90,"Comedy,Drama",5.1,2213,Middle,Short,Normal,Comedy,Drama,Unknown
tt0106519,Carlito's Way,1993,144,"Crime,Drama,Thriller",7.9,206435,Middle,Long,Known,Crime,Drama,Thriller
tt0106521,Carnosaur,1993,83,"Horror,Sci-Fi",3.6,3858,Middle,Short,Normal,Horror,Sci-Fi,Unknown
tt0106534,Cel mai iubit dintre pamânteni,1993,138,Drama,8.4,1660,Middle,Long,Unknown,Drama,Unknown,Unknown
tt0106535,The Cement Garden,1993,105,Drama,7.1,4557,Middle,Normal,Normal,Drama,Unknown,Unknown
tt0106538,Chai Gong,1993,89,"Comedy,Fantasy",6.2,1680,Middle,Short,Unknown,Comedy,Fantasy,Unknown
tt0106539,Chained Heat II,1993,99,"Crime,Drama,Thriller",3.5,1218,Middle,Normal,Unknown,Crime,Drama,Thriller
tt0106544,Chiu kup gai wak,1993,104,"Action,Comedy,Crime",6.1,3807,Middle,Normal,Normal,Action,Comedy,Crime
tt0106545,Chiu kap hok hau ba wong,1993,95,"Action,Comedy,Sci-Fi",5.9,1150,Middle,Normal,Unknown,Action,Comedy,Sci-Fi
tt0106557,Children of the Corn II: The Final Sacrifice,1992,92,"Horror,Thriller",4.3,7985,Middle,Normal,Normal,Horror,Thriller,Unknown
tt0106559,Ching se,1993,99,"Drama,Fantasy",7.2,2704,Middle,Normal,Normal,Drama,Fantasy,Unknown
tt0106579,"Clean, Shaven",1993,79,"Crime,Drama,Thriller",7.1,5342,Middle,Short,Normal,Crime,Drama,Thriller
tt0106582,Cliffhanger,1993,113,"Action,Adventure,Thriller",6.4,122903,Middle,Normal,Known,Action,Adventure,Thriller
tt0106598,Coneheads,1993,88,"Comedy,Sci-Fi",5.3,52340,Middle,Short,Known,Comedy,Sci-Fi,Unknown
tt0106611,Cool Runnings,1993,98,"Adventure,Comedy,Family",7.0,96471,Middle,Normal,Known,Adventure,Comedy,Family
tt0106613,Cop & ½,1993,97,"Comedy,Crime,Family",4.1,8488,Middle,Normal,Normal,Comedy,Crime,Family
tt0106620,Contamination .7,1993,94,"Horror,Sci-Fi,Thriller",2.7,1247,Middle,Normal,Unknown,Horror,Sci-Fi,Thriller
tt0106627,The Crush,1993,89,"Drama,Thriller",5.8,18490,Middle,Short,Known,Drama,Thriller,Unknown
tt0106632,Cuisine et dépendances,1993,94,"Comedy,Drama",7.1,1593,Middle,Normal,Unknown,Comedy,Drama,Unknown
tt0106655,Damini,1993,175,"Crime,Drama",7.8,3239,Middle,Long,Normal,Crime,Drama,Unknown
tt0106660,Snake Eyes,1993,108,Drama,5.7,3663,Middle,Normal,Normal,Drama,Unknown,Unknown
tt0106661,A Dangerous Woman,1993,102,"Drama,Romance",5.8,1859,Middle,Normal,Unknown,Drama,Romance,Unknown
tt0106664,The Dark Half,1993,122,"Horror,Mystery,Thriller",6.0,16626,Middle,Long,Known,Horror,Mystery,Thriller
tt0106673,Dave,1993,110,"Comedy,Romance",6.8,50742,Middle,Normal,Known,Comedy,Romance,Unknown
tt0106677,Dazed and Confused,1993,102,Comedy,7.6,172019,Middle,Normal,Known,Comedy,Unknown,Unknown
tt0106684,Deadfall,1993,98,"Crime,Drama",4.0,3155,Middle,Normal,Normal,Crime,Drama,Unknown
tt0106693,Dedictví aneb Kurvahosigutntag,1992,120,Comedy,7.7,2347,Middle,Normal,Normal,Comedy,Unknown,Unknown
tt0106697,Demolition Man,1993,115,"Action,Sci-Fi,Thriller",6.7,164101,Middle,Normal,Known,Action,Sci-Fi,Thriller
tt0106701,Dennis the Menace,1993,94,"Comedy,Family",5.6,58437,Middle,Normal,Known,Comedy,Family,Unknown
tt0106749,Dönersen Islik Çal,1993,99,Drama,7.5,1555,Middle,Normal,Unknown,Drama,Unknown,Unknown
tt0106753,Doppelganger,1993,104,"Horror,Romance,Thriller",4.4,3540,Middle,Normal,Normal,Horror,Romance,Thriller
tt0106761,Double Dragon,1994,96,"Action,Adventure,Comedy",3.8,12041,Middle,Normal,Known,Action,Adventure,Comedy
tt0106770,Dragon: The Bruce Lee Story,1993,120,"Action,Biography,Drama",7.0,29973,Middle,Normal,Known,Action,Biography,Drama
tt0106779,Drömkåken,1993,101,Comedy,5.5,3212,Middle,Normal,Normal,Comedy,Unknown,Unknown
tt0106792,Ed and His Dead Mother,1993,93,"Comedy,Horror",6.0,2027,Middle,Normal,Normal,Comedy,Horror,Unknown
tt0106827,Ernest Rides Again,1993,96,"Comedy,Family",4.9,2115,Middle,Normal,Normal,Comedy,Family,Unknown
tt0106833,Ethan Frome,1993,99,"Drama,Romance",6.2,2047,Middle,Normal,Normal,Drama,Romance,Unknown
tt0106834,Even Cowgirls Get the Blues,1993,106,"Comedy,Drama,Romance",4.4,7220,Middle,Normal,Normal,Comedy,Drama,Romance
tt0106850,Extreme Justice,1993,96,"Action,Crime,Drama",5.5,1214,Middle,Normal,Unknown,Action,Crime,Drama
tt0106856,Falling Down,1993,113,"Action,Crime,Drama",7.6,177964,Middle,Normal,Known,Action,Crime,Drama
tt0106866,Fanfan,1993,85,"Comedy,Romance",6.8,2795,Middle,Short,Normal,Comedy,Romance,Unknown
tt0106867,Fantozzi in paradiso,1993,98,"Comedy,Romance",5.5,1404,Middle,Normal,Unknown,Comedy,Romance,Unknown
tt0106868,A Far Off Place,1993,100,"Adventure,Drama,Family",6.6,3450,Middle,Normal,Normal,Adventure,Drama,Family
